firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,18,38,19,,,right,0,0.000164124416187,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,19,39,18,,,right,1,0.000366648891941,2018_Dec_04_1706,None,TimingTask,001,zhengk,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1706,None,TimingTask,001,zhengk,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,0,0,0,space,2.06722358987,right,1,0.000169813167304,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,1,1,12,,,right,0,0.000167253194377,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,2,2,3,,,right,1,0.000168106751516,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,3,3,11,,,right,1,0.000156728783622,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,4,4,8,,,right,0,0.000165831064805,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,5,5,10,,,right,0,0.000157582107931,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,6,6,19,,,right,0,0.000173510983586,2018_Dec_04_1706,None,TimingTask,001,zhengk,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,7,7,13,,,left,1,0.000159288756549,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,0,8,8,7,,,right,0,0.821370077319,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,9,9,18,,,right,1,0.000158150913194,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,0,10,10,17,,,right,1,0.000160995637998,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,11,11,2,,,right,1,0.000155022367835,2018_Dec_04_1706,None,TimingTask,001,zhengk,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,12,12,4,,,left,1,0.000171804334968,2018_Dec_04_1706,None,TimingTask,001,zhengk,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,13,13,15,,,right,1,0.000155591173097,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,14,14,9,,,right,1,0.000165546545759,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,15,15,16,,,right,0,1.63801638735,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,0,16,16,1,,,right,0,1.70453313272,2018_Dec_04_1706,None,TimingTask,001,zhengk,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,17,17,14,,,right,1,0.00015843543224,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,0,18,18,6,,,right,1,0.000168106751516,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,19,19,5,,,left,1,0.000168391037732,2018_Dec_04_1706,None,TimingTask,001,zhengk,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,1,0,20,4,,,right,0,0.000159573275596,2018_Dec_04_1706,None,TimingTask,001,zhengk,
