firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,18,38,15,,,right,1,0.554744004505,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,19,39,11,,,left,0,0.000186879886314,2018_Dec_04_1655,None,TimingTask,001,mmm08,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1655,None,TimingTask,001,mmm08,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,0,0,4,space,2.65091632307,right,0,0.384206857067,2018_Dec_04_1655,None,TimingTask,001,mmm08,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,1,1,14,,,right,1,0.417465504725,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,2,2,2,,,right,1,0.650636714417,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,3,3,5,,,left,1,0.913122467231,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,4,4,10,,,right,0,0.900680305436,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,5,5,18,,,right,1,0.534019394079,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,0,6,6,1,,,left,1,0.663293062709,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,7,7,11,,,right,1,0.484096577857,2018_Dec_04_1655,None,TimingTask,001,mmm08,
