firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,18,38,4,,,right,0,0.70047064079,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,19,39,8,,,left,1,0.971377550391,2018_Dec_04_1656,None,TimingTask,001,eaw52,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,0,0,10,space,2.25496496772,left,1,1.20070672943,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,1,1,2,,,right,1,0.384335163748,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,2,2,18,,,right,1,0.284126438666,2018_Dec_04_1656,None,TimingTask,001,eaw52,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,3,3,4,,,right,0,0.613198423525,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,4,4,11,,,right,1,0.579885778716,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,0,5,5,17,,,left,0,1.38853383972,2018_Dec_04_1656,None,TimingTask,001,eaw52,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,6,6,0,,,right,1,0.283948377008,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,7,7,5,,,left,1,1.02985750488,2018_Dec_04_1656,None,TimingTask,001,eaw52,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,8,8,15,,,left,0,1.85372274462,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,9,9,8,,,left,1,2.39660066809,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,10,10,3,,,right,1,0.629983172286,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,0,11,11,7,,,left,1,1.32141560875,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,12,12,19,,,left,1,0.888048863038,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,13,13,12,,,left,1,1.15010786126,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,14,14,16,,,left,1,0.916800165782,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,15,15,9,,,right,1,0.917112769559,2018_Dec_04_1656,None,TimingTask,001,eaw52,
