firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,2.402037334977649,,,,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,1.2,left,2.3,3.3,4.5,0.17368025899999998,0,0,0,0,,,,,,,,,,,,,,,left,1,1.5528815709985793,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.6,3.2,left,4.1,5.1,8.3,0.41458448299999995,0,1,1,1,,,,,,,,,,,,,,,right,0,1.20155500099645,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.5,1.5,left,3.0,4.0,5.5,0.148607464,0,2,2,2,,,,,,,,,,,,,,,left,1,0.9355282470060047,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,2.7,right,2.3,3.3,6.0,0.13554984,0,3,3,3,,,,,,,,,,,,,,,right,1,0.668855648022145,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.2,1.8,right,1.7,2.7,4.5,0.309174352,0,4,4,4,,,,,,,,,,,,,,,left,0,0.9522996509913355,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
8.8,9.9,right,9.3,10.3,20.2,0.7009299529999999,0,5,5,5,,,,,,,,,,,,,,,right,1,1.035529126005713,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.3,4.4,right,3.8,4.8,9.2,0.705723743,0,6,6,6,,,,,,,,,,,,,,,right,1,0.7005347220110707,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.5,2.1,left,4.0,5.0,7.1,0.544523215,0,7,7,7,,,,,,,,,,,,,,,left,1,0.8687964330019895,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.4,0.7,left,1.9,2.9,3.6,0.53553232,0,8,8,8,,,,,,,,,,,,,,,left,1,1.8172446569951717,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
4.4,3.3,left,4.9,5.9,9.2,0.255641654,0,9,9,9,,,,,,,,,,,,,,,left,1,1.31884638700285,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.2,3.6,right,3.7,4.7,8.3,0.140100939,0,10,10,10,,,,,,,,,,,,,,,left,0,1.0688446830026805,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.8,2.1,left,3.3,4.3,6.4,0.019093293,0,11,11,11,,,,,,,,,,,,,,,left,1,1.7022514309792314,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
0.9,1.8,right,1.4,2.4,4.2,0.461070472,0,12,12,12,,,,,,,,,,,,,,,right,1,1.118689970986452,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.1,2.8,right,2.6,3.6,6.4,0.22761601199999998,0,13,13,13,,,,,,,,,,,,,,,right,1,0.5520608850056306,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
0.7,1.4,right,1.2,2.2,3.6,0.436550891,0,14,14,14,,,,,,,,,,,,,,,right,1,0.9521321149950381,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,0.9,left,2.3,3.3,4.2,0.028891147000000002,0,15,15,15,,,,,,,,,,,,,,,left,1,1.4853049390076194,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.7,1.8,left,3.2,4.2,6.0,0.277400549,0,16,16,16,,,,,,,,,,,,,,,left,1,1.1021495730092283,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
9.9,8.8,left,10.4,11.4,20.2,0.9607848720000001,0,17,17,17,,,,,,,,,,,,,,,right,0,1.769002475979505,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.1,3.5,right,2.6,3.6,7.1,0.609327094,0,18,18,18,,,,,,,,,,,,,,,right,1,0.7357386079966091,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.5,2.5,right,2.0,3.0,5.5,0.487304505,0,19,19,19,,,,,,,,,,,,,,,right,1,0.6852611400245223,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.2860162350116298,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
9.9,8.8,left,10.4,11.4,20.2,0.6005130679999999,,,,,0,0,0,0,,,,,,,,,,,left,1,1.3360707880055998,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.5,2.5,right,2.0,3.0,5.5,0.805142221,,,,,0,1,1,1,,,,,,,,,,,right,1,0.6023230419959873,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
0.7,1.4,right,1.2,2.2,3.6,0.70587608,,,,,0,2,2,2,,,,,,,,,,,left,0,1.0023090839968063,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.2,1.8,right,1.7,2.7,4.5,0.276216099,,,,,0,3,3,3,,,,,,,,,,,left,0,0.966987338004401,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.3,4.4,right,3.8,4.8,9.2,0.803512663,,,,,0,4,4,4,,,,,,,,,,,right,1,0.5855911079852376,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.1,2.8,right,2.6,3.6,6.4,0.26721103399999996,,,,,0,5,5,5,,,,,,,,,,,right,1,1.069241046992829,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.8,2.1,left,3.3,4.3,6.4,0.1426323,,,,,0,6,6,6,,,,,,,,,,,left,1,1.2523229230137076,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.7,1.8,left,3.2,4.2,6.0,0.15619143,,,,,0,7,7,7,,,,,,,,,,,left,1,1.0688287030206993,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
8.8,9.9,right,9.3,10.3,20.2,0.549248995,,,,,0,8,8,8,,,,,,,,,,,right,1,1.0356120239885058,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.5,1.5,left,3.0,4.0,5.5,0.358211186,,,,,0,9,9,9,,,,,,,,,,,left,1,1.2189362370118033,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,0.9,left,2.3,3.3,4.2,0.907401646,,,,,0,10,10,10,,,,,,,,,,,left,1,1.1523858720029239,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.2,3.6,right,3.7,4.7,8.3,0.40261677799999995,,,,,0,11,11,11,,,,,,,,,,,right,1,1.1021023250068538,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
2.1,3.5,right,2.6,3.6,7.1,0.699018652,,,,,0,12,12,12,,,,,,,,,,,right,1,0.919017267995514,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,2.7,right,2.3,3.3,6.0,0.8590765890000001,,,,,0,13,13,13,,,,,,,,,,,right,1,1.0353774830000475,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.4,0.7,left,1.9,2.9,3.6,0.413030013,,,,,0,14,14,14,,,,,,,,,,,left,1,1.2503835870011244,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.6,3.2,left,4.1,5.1,8.3,0.12198344800000001,,,,,0,15,15,15,,,,,,,,,,,left,1,2.2021553000085987,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
4.4,3.3,left,4.9,5.9,9.2,0.7908218929999999,,,,,0,16,16,16,,,,,,,,,,,left,1,0.9355228529893793,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
3.5,2.1,left,4.0,5.0,7.1,0.149007794,,,,,0,17,17,17,,,,,,,,,,,left,1,0.9021239529829472,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
1.8,1.2,left,2.3,3.3,4.5,0.44825194799999996,,,,,0,18,18,18,,,,,,,,,,,left,1,1.9837989920051768,,,,,,,598,001,2019_Mar_22_1604,TimingTask,3.0.4,60.00182549085851,
