firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,15.25253245299973,,,,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,1.2,left,2.3,3.3,4.5,0.17368025899999998,0,0,0,0,,,,,,,,,,,,,,,left,1,0.45261031900008675,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.6,3.2,left,4.1,5.1,8.3,0.41458448299999995,0,1,1,1,,,,,,,,,,,,,,,left,1,0.8689517979946686,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.5,1.5,left,3.0,4.0,5.5,0.148607464,0,2,2,2,,,,,,,,,,,,,,,left,1,0.7188107209949521,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,2.7,right,2.3,3.3,6.0,0.13554984,0,3,3,3,,,,,,,,,,,,,,,right,1,0.11884172499412671,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.2,1.8,right,1.7,2.7,4.5,0.309174352,0,4,4,4,,,,,,,,,,,,,,,right,1,1.5354178470006445,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
8.8,9.9,right,9.3,10.3,20.2,0.7009299529999999,0,5,5,5,,,,,,,,,,,,,,,right,1,0.6353767010004958,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.3,4.4,right,3.8,4.8,9.2,0.705723743,0,6,6,6,,,,,,,,,,,,,,,right,1,0.8188510390027659,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.5,2.1,left,4.0,5.0,7.1,0.544523215,0,7,7,7,,,,,,,,,,,,,,,left,1,0.6856172780098859,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.4,0.7,left,1.9,2.9,3.6,0.53553232,0,8,8,8,,,,,,,,,,,,,,,left,1,0.8337657020019833,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
4.4,3.3,left,4.9,5.9,9.2,0.255641654,0,9,9,9,,,,,,,,,,,,,,,left,1,0.6355279230047017,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.2,3.6,right,3.7,4.7,8.3,0.140100939,0,10,10,10,,,,,,,,,,,,,,,right,1,0.6521273709950037,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.8,2.1,left,3.3,4.3,6.4,0.019093293,0,11,11,11,,,,,,,,,,,,,,,left,1,0.6522099879948655,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.9,1.8,right,1.4,2.4,4.2,0.461070472,0,12,12,12,,,,,,,,,,,,,,,right,1,0.718802807998145,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,2.8,right,2.6,3.6,6.4,0.22761601199999998,0,13,13,13,,,,,,,,,,,,,,,right,1,0.4188842010044027,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.7,1.4,right,1.2,2.2,3.6,0.436550891,0,14,14,14,,,,,,,,,,,,,,,right,1,0.48546535200148355,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,0.9,left,2.3,3.3,4.2,0.028891147000000002,0,15,15,15,,,,,,,,,,,,,,,left,1,0.717110011013574,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.7,1.8,left,3.2,4.2,6.0,0.277400549,0,16,16,16,,,,,,,,,,,,,,,left,1,0.5852724230062449,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
9.9,8.8,left,10.4,11.4,20.2,0.9607848720000001,0,17,17,17,,,,,,,,,,,,,,,right,0,0.718850007004221,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,3.5,right,2.6,3.6,7.1,0.609327094,0,18,18,18,,,,,,,,,,,,,,,right,1,0.38529323900002055,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.5,2.5,right,2.0,3.0,5.5,0.487304505,0,19,19,19,,,,,,,,,,,,,,,right,1,0.5687917220056988,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.202826476001064,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
9.9,8.8,left,10.4,11.4,20.2,0.6005130679999999,,,,,0,0,0,0,,,,,,,,,,,right,0,0.8521188449958572,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.5,2.5,right,2.0,3.0,5.5,0.805142221,,,,,0,1,1,1,,,,,,,,,,,right,1,0.7186414750030963,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.7,1.4,right,1.2,2.2,3.6,0.70587608,,,,,0,2,2,2,,,,,,,,,,,right,1,0.6189720319962362,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.2,1.8,right,1.7,2.7,4.5,0.276216099,,,,,0,3,3,3,,,,,,,,,,,right,1,0.41879832099948544,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.3,4.4,right,3.8,4.8,9.2,0.803512663,,,,,0,4,4,4,,,,,,,,,,,right,1,0.3689703480049502,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,2.8,right,2.6,3.6,6.4,0.26721103399999996,,,,,0,5,5,5,,,,,,,,,,,right,1,0.6022016880015144,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.8,2.1,left,3.3,4.3,6.4,0.1426323,,,,,0,6,6,6,,,,,,,,,,,right,0,0.5837584980035899,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.7,1.8,left,3.2,4.2,6.0,0.15619143,,,,,0,7,7,7,,,,,,,,,,,right,0,0.5521464030025527,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
8.8,9.9,right,9.3,10.3,20.2,0.549248995,,,,,0,8,8,8,,,,,,,,,,,right,1,0.40043251200404484,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.5,1.5,left,3.0,4.0,5.5,0.358211186,,,,,0,9,9,9,,,,,,,,,,,left,1,0.9354367549967719,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,0.9,left,2.3,3.3,4.2,0.907401646,,,,,0,10,10,10,,,,,,,,,,,left,1,0.768715729995165,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.2,3.6,right,3.7,4.7,8.3,0.40261677799999995,,,,,0,11,11,11,,,,,,,,,,,left,0,0.9022117619897472,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,3.5,right,2.6,3.6,7.1,0.699018652,,,,,0,12,12,12,,,,,,,,,,,right,1,0.3357402290130267,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,2.7,right,2.3,3.3,6.0,0.8590765890000001,,,,,0,13,13,13,,,,,,,,,,,left,0,0.7855668670090381,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.4,0.7,left,1.9,2.9,3.6,0.413030013,,,,,0,14,14,14,,,,,,,,,,,left,1,0.8856854789919453,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.6,3.2,left,4.1,5.1,8.3,0.12198344800000001,,,,,0,15,15,15,,,,,,,,,,,left,1,0.7855257110059028,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
4.4,3.3,left,4.9,5.9,9.2,0.7908218929999999,,,,,0,16,16,16,,,,,,,,,,,left,1,0.6522291750006843,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.5,2.1,left,4.0,5.0,7.1,0.149007794,,,,,0,17,17,17,,,,,,,,,,,left,1,1.00219916900096,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,1.2,left,2.3,3.3,4.5,0.44825194799999996,,,,,0,18,18,18,,,,,,,,,,,left,1,0.685533616997418,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.9,1.8,right,1.4,2.4,4.2,0.35938568299999996,,,,,0,19,19,19,,,,,,,,,,,right,1,0.7521248379925964,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4529051499994239,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.7,1.8,left,3.2,4.2,6.0,0.09224181599999999,,,,,,,,,0,0,0,0,,,,,,,right,0,0.9522573690046556,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,2.7,right,2.3,3.3,6.0,0.320860695,,,,,,,,,0,1,1,1,,,,,,,right,1,0.5521779260016046,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.7,1.4,right,1.2,2.2,3.6,0.091696964,,,,,,,,,0,2,2,2,,,,,,,left,0,2.1855127879971405,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
4.4,3.3,left,4.9,5.9,9.2,0.010112259,,,,,,,,,0,3,3,3,,,,,,,left,1,0.7688846780074527,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
0.9,1.8,right,1.4,2.4,4.2,0.877480265,,,,,,,,,0,4,4,4,,,,,,,right,1,0.7355866029975004,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,0.9,left,2.3,3.3,4.2,0.74232345,,,,,,,,,0,5,5,5,,,,,,,left,1,0.66894165200938,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.8,1.2,left,2.3,3.3,4.5,0.307053849,,,,,,,,,0,6,6,6,,,,,,,left,1,0.7355414710036712,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.6,3.2,left,4.1,5.1,8.3,0.331236492,,,,,,,,,0,7,7,7,,,,,,,left,1,0.733721611002693,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.5,1.5,left,3.0,4.0,5.5,0.778562476,,,,,,,,,0,8,8,8,,,,,,,left,1,0.6854659910022747,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
1.2,1.8,right,1.7,2.7,4.5,0.18131893100000002,,,,,,,,,0,9,9,9,,,,,,,left,0,0.6853231369896093,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.8,2.1,left,3.3,4.3,6.4,0.897215002,,,,,,,,,0,10,10,10,,,,,,,left,1,0.7686167350038886,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,2.8,right,2.6,3.6,6.4,0.734438325,,,,,,,,,0,11,11,11,,,,,,,left,0,0.7689022929989733,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
3.2,3.6,right,3.7,4.7,8.3,0.716372322,,,,,,,,,0,12,12,12,,,,,,,right,1,0.9855059730034554,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
2.1,3.5,right,2.6,3.6,7.1,0.2797458,,,,,,,,,0,13,13,13,,,,,,,right,1,0.3519593620003434,,,,,,,569,001,2019_Mar_08_1332,TimingTask,3.0.0b13,59.99732700269103,
