firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,6.619491535995621,,,,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,1.2,left,2.3,3.3,4.5,0.17368025899999998,0,0,0,0,,,,,,,,,,,,,,,left,1,2.4530031010508537,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.6,3.2,left,4.1,5.1,8.3,0.41458448299999995,0,1,1,1,,,,,,,,,,,,,,,right,0,6.135411576018669,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.5,1.5,left,3.0,4.0,5.5,0.148607464,0,2,2,2,,,,,,,,,,,,,,,left,1,1.0689453919767402,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,2.7,right,2.3,3.3,6.0,0.13554984,0,3,3,3,,,,,,,,,,,,,,,right,1,1.0023966599837877,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.2,1.8,right,1.7,2.7,4.5,0.309174352,0,4,4,4,,,,,,,,,,,,,,,left,0,4.652269813988823,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
8.8,9.9,right,9.3,10.3,20.2,0.7009299529999999,0,5,5,5,,,,,,,,,,,,,,,right,1,1.2519867480150424,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.3,4.4,right,3.8,4.8,9.2,0.705723743,0,6,6,6,,,,,,,,,,,,,,,left,0,1.4858359890058637,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.5,2.1,left,4.0,5.0,7.1,0.544523215,0,7,7,7,,,,,,,,,,,,,,,right,0,0.6023794999928214,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.4,0.7,left,1.9,2.9,3.6,0.53553232,0,8,8,8,,,,,,,,,,,,,,,left,1,1.0356617560028099,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
4.4,3.3,left,4.9,5.9,9.2,0.255641654,0,9,9,9,,,,,,,,,,,,,,,right,0,0.6689095299807377,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.2,3.6,right,3.7,4.7,8.3,0.140100939,0,10,10,10,,,,,,,,,,,,,,,right,1,1.7021981799625792,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.8,2.1,left,3.3,4.3,6.4,0.019093293,0,11,11,11,,,,,,,,,,,,,,,right,0,1.0023256309796125,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.9,1.8,right,1.4,2.4,4.2,0.461070472,0,12,12,12,,,,,,,,,,,,,,,right,1,0.4188806799938902,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,2.8,right,2.6,3.6,6.4,0.22761601199999998,0,13,13,13,,,,,,,,,,,,,,,right,1,0.4339049029513262,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.7,1.4,right,1.2,2.2,3.6,0.436550891,0,14,14,14,,,,,,,,,,,,,,,right,1,3.785668551980052,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,0.9,left,2.3,3.3,4.2,0.028891147000000002,0,15,15,15,,,,,,,,,,,,,,,left,1,1.483837117033545,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.7,1.8,left,3.2,4.2,6.0,0.277400549,0,16,16,16,,,,,,,,,,,,,,,left,1,0.9356779599911533,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
9.9,8.8,left,10.4,11.4,20.2,0.9607848720000001,0,17,17,17,,,,,,,,,,,,,,,left,1,1.0858098159660585,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,3.5,right,2.6,3.6,7.1,0.609327094,0,18,18,18,,,,,,,,,,,,,,,right,1,0.8023918730323203,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.5,2.5,right,2.0,3.0,5.5,0.487304505,0,19,19,19,,,,,,,,,,,,,,,left,0,0.6017390579800121,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.652715526986867,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
9.9,8.8,left,10.4,11.4,20.2,0.6005130679999999,,,,,0,0,0,0,,,,,,,,,,,right,0,0.5522082099923864,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.5,2.5,right,2.0,3.0,5.5,0.805142221,,,,,0,1,1,1,,,,,,,,,,,right,1,0.868837132002227,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.7,1.4,right,1.2,2.2,3.6,0.70587608,,,,,0,2,2,2,,,,,,,,,,,right,1,1.1170943590113893,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.2,1.8,right,1.7,2.7,4.5,0.276216099,,,,,0,3,3,3,,,,,,,,,,,right,1,0.6689539399812929,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.3,4.4,right,3.8,4.8,9.2,0.803512663,,,,,0,4,4,4,,,,,,,,,,,left,0,0.7837689300067723,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,2.8,right,2.6,3.6,6.4,0.26721103399999996,,,,,0,5,5,5,,,,,,,,,,,right,1,0.5353340539732017,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.8,2.1,left,3.3,4.3,6.4,0.1426323,,,,,0,6,6,6,,,,,,,,,,,left,1,0.8688610789831728,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.7,1.8,left,3.2,4.2,6.0,0.15619143,,,,,0,7,7,7,,,,,,,,,,,left,1,0.8523006669711322,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
8.8,9.9,right,9.3,10.3,20.2,0.549248995,,,,,0,8,8,8,,,,,,,,,,,right,1,0.8021396900294349,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.5,1.5,left,3.0,4.0,5.5,0.358211186,,,,,0,9,9,9,,,,,,,,,,,left,1,0.9856872500386089,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,0.9,left,2.3,3.3,4.2,0.907401646,,,,,0,10,10,10,,,,,,,,,,,left,1,1.0355709620052949,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.2,3.6,right,3.7,4.7,8.3,0.40261677799999995,,,,,0,11,11,11,,,,,,,,,,,right,1,0.9188638600171544,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,3.5,right,2.6,3.6,7.1,0.699018652,,,,,0,12,12,12,,,,,,,,,,,left,0,1.2521394689683802,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,2.7,right,2.3,3.3,6.0,0.8590765890000001,,,,,0,13,13,13,,,,,,,,,,,right,1,1.285561355005484,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.4,0.7,left,1.9,2.9,3.6,0.413030013,,,,,0,14,14,14,,,,,,,,,,,left,1,1.168838648009114,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.6,3.2,left,4.1,5.1,8.3,0.12198344800000001,,,,,0,15,15,15,,,,,,,,,,,left,1,1.2855657099862583,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
4.4,3.3,left,4.9,5.9,9.2,0.7908218929999999,,,,,0,16,16,16,,,,,,,,,,,right,0,1.96891669096658,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.5,2.1,left,4.0,5.0,7.1,0.149007794,,,,,0,17,17,17,,,,,,,,,,,left,1,1.4188204139936715,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,1.2,left,2.3,3.3,4.5,0.44825194799999996,,,,,0,18,18,18,,,,,,,,,,,right,0,1.3021715250215493,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.9,1.8,right,1.4,2.4,4.2,0.35938568299999996,,,,,0,19,19,19,,,,,,,,,,,right,1,1.1690262029878795,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.7695901060360484,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.7,1.8,left,3.2,4.2,6.0,0.09224181599999999,,,,,,,,,0,0,0,0,,,,,,,left,1,0.735794702952262,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,2.7,right,2.3,3.3,6.0,0.320860695,,,,,,,,,0,1,1,1,,,,,,,right,1,0.752041433006525,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.7,1.4,right,1.2,2.2,3.6,0.091696964,,,,,,,,,0,2,2,2,,,,,,,right,1,0.6855754629941657,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
4.4,3.3,left,4.9,5.9,9.2,0.010112259,,,,,,,,,0,3,3,3,,,,,,,left,1,1.0171400779508986,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
0.9,1.8,right,1.4,2.4,4.2,0.877480265,,,,,,,,,0,4,4,4,,,,,,,right,1,0.8856286329682916,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,0.9,left,2.3,3.3,4.2,0.74232345,,,,,,,,,0,5,5,5,,,,,,,left,1,0.9187859760131687,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.8,1.2,left,2.3,3.3,4.5,0.307053849,,,,,,,,,0,6,6,6,,,,,,,left,1,1.6522125409683213,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.6,3.2,left,4.1,5.1,8.3,0.331236492,,,,,,,,,0,7,7,7,,,,,,,left,1,1.7853733800002374,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.5,1.5,left,3.0,4.0,5.5,0.778562476,,,,,,,,,0,8,8,8,,,,,,,left,1,1.2855813040514477,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.2,1.8,right,1.7,2.7,4.5,0.18131893100000002,,,,,,,,,0,9,9,9,,,,,,,right,1,1.9689466760028154,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.8,2.1,left,3.3,4.3,6.4,0.897215002,,,,,,,,,0,10,10,10,,,,,,,right,0,0.8022592350025661,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,2.8,right,2.6,3.6,6.4,0.734438325,,,,,,,,,0,11,11,11,,,,,,,right,1,0.9356174110434949,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.2,3.6,right,3.7,4.7,8.3,0.716372322,,,,,,,,,0,12,12,12,,,,,,,right,1,0.6690607890486717,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
2.1,3.5,right,2.6,3.6,7.1,0.2797458,,,,,,,,,0,13,13,13,,,,,,,right,1,4.702122705988586,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.4,0.7,left,1.9,2.9,3.6,0.038284202,,,,,,,,,0,14,14,14,,,,,,,right,0,0.9355265290359966,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
9.9,8.8,left,10.4,11.4,20.2,0.656448526,,,,,,,,,0,15,15,15,,,,,,,right,0,0.7352705480298027,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.5,2.1,left,4.0,5.0,7.1,0.25078508899999996,,,,,,,,,0,16,16,16,,,,,,,left,1,1.085262775013689,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
8.8,9.9,right,9.3,10.3,20.2,0.055985873,,,,,,,,,0,17,17,17,,,,,,,left,0,1.0856668849592097,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
1.5,2.5,right,2.0,3.0,5.5,0.279030548,,,,,,,,,0,18,18,18,,,,,,,right,1,1.2686272470164113,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
3.3,4.4,right,3.8,4.8,9.2,0.6214470879999999,,,,,,,,,0,19,19,19,,,,,,,left,0,1.0689311099704355,,,,,,,589,001,2019_Mar_28_1536,TimingTask,3.0.4,60.01775528765638,
