firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum
2.7,1.8,left,3.2,4.2,6,0.092241816
1.8,2.7,right,2.3,3.3,6,0.320860695
0.7,1.4,right,1.2,2.2,3.6,0.091696964
4.4,3.3,left,4.9,5.9,9.2,0.010112259
0.9,1.8,right,1.4,2.4,4.2,0.877480265
1.8,0.9,left,2.3,3.3,4.2,0.74232345
1.8,1.2,left,2.3,3.3,4.5,0.307053849
3.6,3.2,left,4.1,5.1,8.3,0.331236492
2.5,1.5,left,3,4,5.5,0.778562476
1.2,1.8,right,1.7,2.7,4.5,0.181318931
2.8,2.1,left,3.3,4.3,6.4,0.897215002
2.1,2.8,right,2.6,3.6,6.4,0.734438325
3.2,3.6,right,3.7,4.7,8.3,0.716372322
2.1,3.5,right,2.6,3.6,7.1,0.2797458
1.4,0.7,left,1.9,2.9,3.6,0.038284202
9.9,8.8,left,10.4,11.4,20.2,0.656448526
3.5,2.1,left,4,5,7.1,0.250785089
8.8,9.9,right,9.3,10.3,20.2,0.055985873
1.5,2.5,right,2,3,5.5,0.279030548
3.3,4.4,right,3.8,4.8,9.2,0.621447088
