firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum
2.5,1.5,left,3,4,5.5,0.952645334
2.8,2.1,left,3.3,4.3,6.4,0.962497787
2.7,1.8,left,3.2,4.2,6,0.066906056
8.8,9.9,right,9.3,10.3,20.2,0.095553331
1.8,2.7,right,2.3,3.3,6,0.559320406
3.5,2.1,left,4,5,7.1,0.885130943
2.1,2.8,right,2.6,3.6,6.4,0.784327299
4.4,3.3,left,4.9,5.9,9.2,0.594355042
0.9,1.8,right,1.4,2.4,4.2,0.397607774
3.6,3.2,left,4.1,5.1,8.3,0.454525661
9.9,8.8,left,10.4,11.4,20.2,0.335173919
1.8,1.2,left,2.3,3.3,4.5,0.050156068
2.1,3.5,right,2.6,3.6,7.1,0.553210354
3.2,3.6,right,3.7,4.7,8.3,0.062598668
1.5,2.5,right,2,3,5.5,0.851613693
1.2,1.8,right,1.7,2.7,4.5,0.956107146
3.3,4.4,right,3.8,4.8,9.2,0.253727483
1.8,0.9,left,2.3,3.3,4.2,0.328250033
1.4,0.7,left,1.9,2.9,3.6,0.261398149
0.7,1.4,right,1.2,2.2,3.6,0.515481866
