firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,14,34,2,,,right,1,0.400625606,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,15,35,18,,,right,1,0.571459332,2018_Dec_04_1655,None,TimingTask,1,aaylward
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,16,36,13,,,right,0,0.321442905,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,17,37,19,,,right,0,0.800565987,2018_Dec_04_1655,None,TimingTask,1,aaylward
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,18,38,14,,,right,1,0.783435909,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,19,39,8,,,left,1,0.717239504,2018_Dec_04_1655,None,TimingTask,1,aaylward
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,0,0,5,space,2.229324539,left,1,0.81737123,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,1,1,10,,,left,1,0.929767902,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,2.7,right,2.3,3.3,6,1,0,1,0,0,2,2,17,,,right,1,0.746672359,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.5,2.5,right,2,3,5.5,1,0,1,0,0,3,3,11,,,right,1,0.534104992,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,0,4,4,6,,,right,1,1.196413216,2018_Dec_04_1655,None,TimingTask,1,aaylward
